source_book_id,title,author,category,subcategory,source_url,intro,tags_json,favorites_count,views_proxy,word_count,status,updated_at,first_day_v,first_day_favorites,first_day_flowers,first_day_reward,first_day_rating,first_day_reviews,first_day_words_k,best_rank,worst_rank,total_times
1286984,大秦：我特么刚穿越，政哥就死了,流氓不流氓,军事历史,架空历史,https://b.faloo.com/1286984.html,分类:军事历史；二级:架空历史；来源:excel,"{""sourceBookId"":1286984,""inXls"":true,""xlsCreatedAt"":""2023-03-01 00:00:00"",""firstRankDate"":""2023-03-10 00:00:00"",""lastRankDate"":""2023-03-25 00:00:00""}",0,0,0,published,,,,213,0,0,9,19.0,19,50,12
1287177,我鹰眼米霍克，死神世界最强剑豪,天生赢家,同人小说,动漫同人,https://b.faloo.com/1287177.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1287177,""inXls"":true,""xlsCreatedAt"":""2023-03-01 00:00:00"",""firstRankDate"":""2023-03-15 00:00:00"",""lastRankDate"":""2023-03-17 00:00:00""}",0,0,0,published,,,,406,0,109,9,22.0,35,45,2
1287427,三国杀：开局无双！万军取首！,一个破冰箱,轻小说,日常类,https://b.faloo.com/1287427.html,分类:轻小说；二级:日常类；来源:excel,"{""sourceBookId"":1287427,""inXls"":true,""xlsCreatedAt"":""2023-03-02 00:00:00"",""firstRankDate"":""2023-03-27 00:00:00"",""lastRankDate"":""2023-04-20 00:00:00""}",0,0,0,published,,,,2999,0,89,10,20.0,8,48,30
1287614,精灵：曝光皮卡超，凡躯比肩神明,大皮老师无敌,同人小说,动漫同人,https://b.faloo.com/1287614.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1287614,""inXls"":true,""xlsCreatedAt"":""2023-03-02 00:00:00"",""firstRankDate"":""2023-04-28 00:00:00"",""lastRankDate"":""2023-05-18 00:00:00""}",0,0,0,published,,,,1497,0,0,5,22.0,24,45,14
1287648,娱乐：带素人女友蹭大席，你脸呢,二号月食,都市言情,都市生活,https://b.faloo.com/1287648.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1287648,""inXls"":true,""xlsCreatedAt"":""2023-03-02 00:00:00"",""firstRankDate"":""2023-03-26 00:00:00"",""lastRankDate"":""2023-03-28 00:00:00""}",0,0,0,published,,,,178,0,0,5,29.0,25,41,3
1287686,半夜遇到鬼娶亲，我抢亲不犯法吧,老梅,都市言情,都市异能,https://b.faloo.com/1287686.html,分类:都市言情；二级:都市异能；来源:excel,"{""sourceBookId"":1287686,""inXls"":true,""xlsCreatedAt"":""2023-03-02 00:00:00"",""firstRankDate"":""2023-09-30 00:00:00"",""lastRankDate"":""2023-11-05 00:00:00""}",0,0,0,published,,,,158,0,0,0,10.0,1,48,21
1287892,直播古玩街捡漏，开局八万倍利润,秦淮公,都市言情,都市生活,https://b.faloo.com/1287892.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1287892,""inXls"":true,""xlsCreatedAt"":""2023-03-03 00:00:00"",""firstRankDate"":""2023-03-13 00:00:00"",""lastRankDate"":""2023-06-11 00:00:00""}",0,0,0,published,,,,7031,588,138,4,15.0,1,47,179
1288068,娱乐：他，定义了演技！,荔枝车神,都市言情,都市生活,https://b.faloo.com/1288068.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1288068,""inXls"":true,""xlsCreatedAt"":""2023-03-03 00:00:00"",""firstRankDate"":""2023-03-21 00:00:00"",""lastRankDate"":""2023-06-01 00:00:00""}",0,0,0,published,,,,10257,100,88,8,64.0,1,48,48
1288090,全民御兽：我，神话御兽师,骑着蜗牛追太阳,玄幻奇幻,东方玄幻,https://b.faloo.com/1288090.html,分类:玄幻奇幻；二级:东方玄幻；来源:excel,"{""sourceBookId"":1288090,""inXls"":true,""xlsCreatedAt"":""2023-03-03 00:00:00"",""firstRankDate"":""2023-05-21 00:00:00"",""lastRankDate"":""2023-05-25 00:00:00""}",0,0,0,published,,,,215,0,0,5,23.0,17,45,5
1288210,人在木叶，开局吞噬宇智波止水,源宝宝,同人小说,动漫同人,https://b.faloo.com/1288210.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1288210,""inXls"":true,""xlsCreatedAt"":""2023-03-03 00:00:00"",""firstRankDate"":""2023-03-15 00:00:00"",""lastRankDate"":""2023-04-13 00:00:00""}",0,0,0,published,,,,4937,100,66,20,36.0,9,48,30
